"NAME","PHYLUM","CLASS","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"scaffold_4740431","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.880269205,1.016294137,0,0,0,0.797969761,1.431412449,1.56121935,0,0,0,0
"scaffold_4806054","Bacillota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.872415821,1.03063636,0,0,0,0,0,1.481891613,0,0,0,0
"scaffold_4842348","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.826029673,1.03063636,0.85084494,0.614350808,0.902509549,0.674151671,1.345730712,1.554280983,1.134601577,0,1.283595628,0
"scaffold_4863555","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.68738553,0.774683622,0,0.740136871,0,0.865684514,0,0,0,1.247245397,0,0
"scaffold_4869189","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.878959064,1.009200978,0.836605,0.724337931,0,0.81350096,1.283324408,1.323888574,0,0,0,1.067804999
"scaffold_4907960","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.732953551,1.03063636,0.713949884,0.73531341,0,0.698057718,1.283712603,0,1.162397675,1.224694775,1.106132503,0.946334277
"scaffold_4933096","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.828141289,1.03063636,0,0.763358809,0.955875117,0.661344594,1.417607236,1.563324872,0,1.310882385,0,0
"scaffold_4951339","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.835772546,1.03063636,0,0,0,0.847726466,0,0,0,0,0,0.879745215
"scaffold_5164458","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.80428986,1.03063636,0.686968312,0.739884223,0.971005952,0.70715944,1.352690539,1.537564835,1.190946783,1.269133039,0,1.029823851
"scaffold_5652119","Actinomycetota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.81315631,0,0.666942966,0.795921667,0,0.755824003,0,1.318225075,0,0,0,1.119606152
